folder,original_filename,new_filename,status
A1 Sensor,LM35_A3_C1_chamber_40_3.3V_trialADS_10000000.csv,LM35_A1_40C_3.3V_10M.csv,renamed
A1 Sensor,LM35_A3_chamber_0C_trialVN3.3v_ADS_10M.csv,LM35_A1_0C_3.3V_10M.csv,renamed
A1 Sensor,LM35_A3_chamber_0_5V_trialADS_10000000.csv,LM35_A1_0C_5V_10M.csv,renamed
A1 Sensor,LM35_A3_chamber_24C_trialVN3.3v_ADS_10M.csv,LM35_A1_24C_3.3V_10M.csv,renamed
A1 Sensor,LM35_A3_chamber_24_5V_trialADS_10000000.csv,LM35_A1_24C_5V_10M.csv,renamed
A1 Sensor,LM35_A3_chamber_40_5V_trialADS_10000000.csv,LM35_A1_40C_5V_10M.csv,renamed
A2 Sensor,LM35_A2_C2_chamber_40_3.3V_trialADS_10000000.csv,LM35_A2_40C_3.3V_10M.csv,renamed
A2 Sensor,LM35_A2_chamber_0C_trialVN3.3v_ADS_10M.csv,LM35_A2_0C_3.3V_10M.csv,renamed
A2 Sensor,LM35_A2_chamber_0_5V_trialADS_10000000.csv,LM35_A2_0C_5V_10M.csv,renamed
A2 Sensor,LM35_A2_chamber_24C_trialVN3.3v_ADS_10M.csv,LM35_A2_24C_3.3V_10M.csv,renamed
A2 Sensor,LM35_A2_chamber_24_5V_trialADS_10000000.csv,LM35_A2_24C_5V_10M.csv,renamed
A2 Sensor,LM35_A2_chamber_40_5V_trialADS_10000000.csv,LM35_A2_40C_5V_10M.csv,renamed
B1 Sensor,LM35_B1_chamber_0C_trialVN3.3v_ADS_10M.csv,LM35_B1_0C_3.3V_10M.csv,renamed
B1 Sensor,LM35_B1_chamber_0_5V_trialADS_10000000.csv,LM35_B1_0C_5V_10M.csv,renamed
B1 Sensor,LM35_B1_chamber_24_3.3V_trialADS_10000000.csv,LM35_B1_24C_3.3V_10M.csv,renamed
B1 Sensor,LM35_B1_chamber_24_5V_trialADS_10000000.csv,LM35_B1_24C_5V_10M.csv,renamed
B1 Sensor,LM35_B1_chamber_40_3.3V_trialADS_10000000.csv,LM35_B1_40C_3.3V_10M.csv,renamed
B1 Sensor,LM35_B1_chamber_40_5V_trialADS_10000000.csv,LM35_B1_40C_5V_10M.csv,renamed
B2 Sensor,LM35_B2_A1_chamber_40_3.3V_trialADS_10000000.csv,LM35_B2_40C_3.3V_10M.csv,renamed
B2 Sensor,LM35_B2_chamber_0C_trialVN3.3v_ADS_10M.csv,LM35_B2_0C_3.3V_10M.csv,renamed
B2 Sensor,LM35_B2_chamber_0_5V_trialADS_10000000.csv,LM35_B2_0C_5V_10M.csv,renamed
B2 Sensor,LM35_B2_chamber_24C_trialVN3.3v_ADS_10M.csv,LM35_B2_24C_3.3V_10M.csv,renamed
B2 Sensor,LM35_B2_chamber_24_5V_trialADS_10000000.csv,LM35_B2_24C_5V_10M.csv,renamed
B2 Sensor,LM35_B2_chamber_40_5V_trialADS_10000000.csv,LM35_B2_40C_5V_10M.csv,renamed
B3 Sensor,LM35_B3_chamber_0C_trialVN3.3v_ADS_10M.csv,LM35_B3_0C_3.3V_10M.csv,renamed
B3 Sensor,LM35_B3_chamber_0_5V_trialADS_10000000.csv,LM35_B3_0C_5V_10M.csv,renamed
B3 Sensor,LM35_B3_chamber_24_3.3V_trialADS_10000000.csv,LM35_B3_24C_3.3V_10M.csv,renamed
B3 Sensor,LM35_B3_chamber_24_5V_trialADS_10000000.csv,LM35_B3_24C_5V_10M.csv,renamed
B3 Sensor,LM35_B3_chamber_40_3.3V_trialADS_10000000.csv,LM35_B3_40C_3.3V_10M.csv,renamed
B3 Sensor,LM35_B3_chamber_40_5V_trialADS_10000000.csv,LM35_B3_40C_5V_10M.csv,renamed
B4 Sensor,LM35_B2_chamber_0C_trialVN3.3v_ADS_10M.csv,LM35_B4_0C_3.3V_10M.csv,renamed
B4 Sensor,LM35_B2_chamber_0_5V_trialADS_10000000.csv,LM35_B4_0C_5V_10M.csv,renamed
B4 Sensor,LM35_B2_chamber_24_3.3V_trialADS_10000000.csv,LM35_B4_24C_3.3V_10M.csv,renamed
B4 Sensor,LM35_B2_chamber_24_5V_trialADS_10000000.csv,LM35_B4_24C_5V_10M.csv,renamed
B4 Sensor,LM35_B2_chamber_40_3.3V_trialADS_10000000.csv,LM35_B4_40C_3.3V_10M.csv,renamed
B4 Sensor,LM35_B2_chamber_40_5V_trialADS_10000000.csv,LM35_B4_40C_5V_10M.csv,renamed
C2 Sensor,LM35_C2_B4_chamber_40_3.3V_trialADS_10000000.csv,LM35_C2_40C_3.3V_10M.csv,renamed
C2 Sensor,LM35_C2_chamber_0C_trialVN3.3v_ADS_10M.csv,LM35_C2_0C_3.3V_10M.csv,renamed
C2 Sensor,LM35_C2_chamber_0_5V_trialADS_10000000.csv,LM35_C2_0C_5V_10M.csv,renamed
C2 Sensor,LM35_C2_chamber_24C_trialVN3.3v_ADS_10M.csv,LM35_C2_24C_3.3V_10M.csv,renamed
C2 Sensor,LM35_C2_chamber_24_5V_trialADS_10000000.csv,LM35_C2_24C_5V_10M.csv,renamed
C2 Sensor,LM35_C2_chamber_40_5V_trialADS_10000000.csv,LM35_C2_40C_5V_10M.csv,renamed
