Sensor,Variant,Temp (C),Voltage (V),Bit Position,Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate,VN Min-Entropy (bits/bit)
A1,A,0,3.3,0,0.9075140236114665,10000000,2500557,0.2500557,0.499873428200197,188,188,1.0,0.9030319696690663
A1,A,0,5.0,0,0.8995766145925014,10000000,2499183,0.2499183,0.5001410460938635,188,188,1.0,0.8413636425011698
A1,A,24,3.3,0,0.9246874370277568,10000000,2499175,0.2499175,0.5001746576370202,188,188,1.0,0.9177935090921404
A1,A,24,5.0,0,0.8931429894664927,10000000,2501010,0.250101,0.5005681704591345,188,188,1.0,0.8520670925747984
A1,A,40,3.3,0,0.9303827017429849,10000000,2497790,0.249779,0.5003931475424275,188,188,1.0,0.8699533602476639
A1,A,40,5.0,0,0.9034114451671332,10000000,2500609,0.2500609,0.4994547328270833,188,188,1.0,0.9202561095829296
A2,A,0,3.3,0,0.889054422168571,10000000,2499961,0.2499961,0.5001702026551614,188,188,1.0,0.8564396786469896
A2,A,0,5.0,0,0.907770534223881,10000000,2498990,0.249899,0.49997078819843216,188,188,1.0,0.8814996904239348
A2,A,24,3.3,0,0.8848152163193679,10000000,2499364,0.2499364,0.5000296075321562,188,188,1.0,0.887439699014024
A2,A,24,5.0,0,0.9354066112394646,10000000,2500924,0.2500924,0.5000755720685635,188,188,1.0,0.8962583447335474
A2,A,40,3.3,0,0.8981924073670946,10000000,2500434,0.2500434,0.49979843499168547,188,188,1.0,0.864712338306739
A2,A,40,5.0,0,0.9407643278630556,10000000,2502158,0.2502158,0.4997777918101095,187,188,0.9946808510638298,0.8560284495885705
A3,A,0,3.3,0,0.8895299821172079,10000000,2499363,0.2499363,0.5001718437857966,188,188,1.0,0.8823448553152633
A3,A,24,3.3,0,0.9117235615363901,10000000,2498267,0.2498267,0.49995176656458257,188,188,1.0,0.8344374948605782
A4,A,0,3.3,0,0.9000003495777259,10000000,2498951,0.2498951,0.49970967818096473,187,188,0.9946808510638298,0.8732126081322839
A4,A,24,3.3,0,0.9105248596726757,10000000,2499114,0.2499114,0.5010019550928849,161,162,0.9938271604938271,0.8724319591764601
A5,A,0,3.3,0,0.9094556969514622,10000000,2502063,0.2502063,0.5002144230580925,188,188,1.0,0.8841021218010474
A5,A,24,3.3,0,0.9202764057668684,10000000,2501149,0.2501149,0.5001513304485259,188,188,1.0,0.8519637249033303
A6,A,0,3.3,0,0.9126923865158812,10000000,2499799,0.2499799,0.4997769820693584,187,188,0.9946808510638298,0.8905298127929887
A6,A,24,3.3,0,0.9046938732446921,10000000,2499254,0.2499254,0.49991917588208323,186,188,0.9893617021276596,0.8662668177229622
A7,A,0,3.3,0,0.898033438648016,10000000,2500835,0.2500835,0.5001333554592766,188,188,1.0,0.8808722520885256
A7,A,24,3.3,0,0.9285421975891901,10000000,2501220,0.250122,0.5001071477119166,185,188,0.9840425531914894,0.8732480913700135
B1,B,0,3.3,0,0.899448084385447,10000000,2499466,0.2499466,0.5001620346105928,188,188,1.0,0.9226136279424068
B1,B,0,5.0,0,0.9228663557698501,10000000,2498484,0.2498484,0.5002537538763506,188,188,1.0,0.8913010076392208
B1,B,24,3.3,0,0.9137802082994223,10000000,2498759,0.2498759,0.49980810474319454,187,188,0.9946808510638298,0.8878570191283791
B1,B,24,5.0,0,0.8970662356918462,10000000,2499951,0.2499951,0.5000490009604188,188,188,1.0,0.8570466504788458
B1,B,40,3.3,0,0.9159565343817989,10000000,2498524,0.2498524,0.5002413424886053,188,188,1.0,0.8343307989585448
B1,B,40,5.0,0,0.9020504204203043,10000000,2501553,0.2501553,0.49994223588306946,188,188,1.0,0.9001108601966771
B2,B,0,3.3,0,0.8957211411118005,10000000,2500651,0.2500651,0.49963669460472493,188,188,1.0,0.8864836654110043
B2,B,0,5.0,0,0.9143421525061425,10000000,2501492,0.2501492,0.499791324537516,188,188,1.0,0.8874492585361362
B2,B,24,3.3,0,0.8925268236378315,10000000,2500447,0.2500447,0.5001913657837979,162,162,1.0,0.8697499978742339
B2,B,24,5.0,0,0.9043127467930588,10000000,2501548,0.2501548,0.4995350878735887,188,188,1.0,0.9201281214418043
B2,B,40,3.3,0,0.9106118770562236,10000000,2501421,0.2501421,0.500251656958185,187,188,0.9946808510638298,0.8697936886238589
B2,B,40,5.0,0,0.8993036642614629,10000000,2500330,0.250033,0.4995196634044306,188,188,1.0,0.8850710328272835
B3,B,0,3.3,0,0.8875641742205179,10000000,2501805,0.2501805,0.5004838506598236,188,188,1.0,0.9224915164968971
B3,B,0,5.0,0,0.9125115894181498,10000000,2499316,0.2499316,0.5001576431311607,188,188,1.0,0.8749025144910393
B3,B,24,3.3,0,0.9253198601543589,10000000,2498139,0.2498139,0.4996099096167187,188,188,1.0,0.8940224162133666
B3,B,24,5.0,0,0.9018989931189895,10000000,2498572,0.2498572,0.4999687821683746,188,188,1.0,0.8723464592321156
B3,B,40,3.3,0,0.8904271091020434,10000000,2501238,0.2501238,0.49996241861030416,188,188,1.0,0.8769944169932687
B3,B,40,5.0,0,0.9130110140426799,10000000,2499591,0.2499591,0.5001586259512056,187,188,0.9946808510638298,0.8737433713555512
B4,B,0,3.3,0,0.8983257883130719,10000000,2498586,0.2498586,0.5001300735696109,188,188,1.0,0.8598962678265291
B4,B,0,5.0,0,0.8956023965905674,10000000,2501005,0.2501005,0.49986265521260453,188,188,1.0,0.8849273904008564
B4,B,24,3.3,0,0.8962522736356293,10000000,2499858,0.2499858,0.4994775703259945,188,188,1.0,0.8712525994906825
B4,B,24,5.0,0,0.8961247402303423,10000000,2500494,0.2500494,0.4995164955404812,188,188,1.0,0.8969944903622181
B4,B,40,3.3,0,0.907101641303215,10000000,2498222,0.2498222,0.5000924657616497,188,188,1.0,0.8953433594532219
B4,B,40,5.0,0,0.889024553197279,10000000,2500222,0.2500222,0.4998120166929177,188,188,1.0,0.8557258378132572
B5,B,0,3.3,0,0.8887107776625447,10000000,2498370,0.249837,0.5000756493233588,187,188,0.9946808510638298,0.8987536807593378
B5,B,24,3.3,0,0.9031405252542114,10000000,2498718,0.2498718,0.4999363673691869,188,188,1.0,0.8937113240960196
B6,B,0,3.3,0,0.9098480206614937,10000000,2501378,0.2501378,0.5001415219930774,188,188,1.0,0.8782990311428555
B6,B,24,3.3,0,0.9042062711829368,10000000,2501800,0.25018,0.5001299064673436,188,188,1.0,0.892087281580206
C1,C,0,3.3,0,0.931579392008835,10000000,2501542,0.2501542,0.4995370855256478,188,188,1.0,0.8456170466363487
C1,C,24,3.3,0,0.8976999754766256,10000000,2500636,0.2500636,0.4996460900346952,162,162,1.0,0.8542535040174895
C2,C,0,3.3,0,0.8763926306705535,10000000,2502373,0.2502373,0.5001324742554367,188,188,1.0,0.8792286374034634
C2,C,0,5.0,0,0.8992766353437976,10000000,2499527,0.2499527,0.4996229286581021,188,188,1.0,0.8453597299472215
C2,C,24,3.3,0,0.9028657075124792,10000000,2499241,0.2499241,0.500081824842022,188,188,1.0,0.8652607866537411
C2,C,24,5.0,0,0.9240617536904766,10000000,2497573,0.2497573,0.4994216385266817,188,188,1.0,0.8460744980899365
C2,C,40,3.3,0,0.8999418242741933,10000000,2500945,0.2500945,0.5004472309467022,188,188,1.0,0.8738117124028282
C2,C,40,5.0,0,0.8997325975541156,10000000,2500171,0.2500171,0.5003041791941432,188,188,1.0,0.8732065598582501
C3,C,0,3.3,0,0.9116999919685155,10000000,2497576,0.2497576,0.49969450379087565,188,188,1.0,0.9218871655144929
C3,C,24,3.3,0,0.9074197516875407,10000000,2496928,0.2496928,0.49983259429186583,188,188,1.0,0.8965557442119737
C4,C,0,3.3,0,0.8756597256062576,10000000,2499528,0.2499528,0.500073613898304,188,188,1.0,0.8644655170764279
C4,C,24,3.3,0,0.9014450299153621,10000000,2498391,0.2498391,0.5003980561889633,187,188,0.9946808510638298,0.8722170191033064
C5,C,0,3.3,0,0.889054422168571,10000000,2500364,0.2500364,0.5001871727476479,188,188,1.0,0.910044252848929
C5,C,24,3.3,0,0.9288974562542268,10000000,2500005,0.2500005,0.5006521986956026,188,188,1.0,0.85801349771726
C6,C,0,3.3,0,0.9042736160562165,10000000,2500645,0.2500645,0.5007328109347788,187,188,0.9946808510638298,0.8776680555355796
C6,C,24,3.3,0,0.8940854994538072,10000000,2497847,0.2497847,0.5002460118654185,188,188,1.0,0.8619965151065871
