Sensor,Variant,Temp (C),Voltage (V),LSBs Used,Min-Entropy (bits/bit),VN Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
A1,A,0,3.3,3,0.8145434140954458,0.925550518289763,30000000,7500940,0.2500313333333333,0.4999873349206899,173,188,0.9202127659574468
A1,A,0,5.0,3,0.9040575940812492,0.8791433664330505,30000000,7502861,0.2500953666666666,0.5000548457448432,177,188,0.9414893617021276
A1,A,24,3.3,3,0.807618336689592,0.9060942898053396,30000000,7500325,0.2500108333333333,0.4999243366120801,165,188,0.8776595744680851
A1,A,24,5.0,3,0.8846381600791511,0.8806255127743906,30000000,7502282,0.2500760666666666,0.500034656121964,173,188,0.9202127659574468
A1,A,40,3.3,3,0.6086713593249372,0.8842459912192041,30000000,7506315,0.2502105,0.5003292560996974,143,188,0.7606382978723404
A1,A,40,5.0,3,0.9293285955801536,0.8997863353187329,30000000,7496594,0.2498864666666666,0.5001598059065223,172,188,0.9148936170212766
A2,A,0,3.3,3,0.7257587920241474,0.8902489200454746,30000000,7499157,0.2499719,0.4997985773600952,165,188,0.8776595744680851
A2,A,0,5.0,3,0.9030495598095029,0.8926057063435393,30000000,7499683,0.2499894333333333,0.5000022000929906,180,188,0.9574468085106383
A2,A,24,3.3,3,0.8591571041560814,0.9071828139531352,30000000,7500226,0.2500075333333333,0.5001438623316151,175,188,0.9308510638297872
A2,A,24,5.0,3,0.8543159836835829,0.8872005034745923,30000000,7499546,0.2499848666666666,0.5001280077487357,166,188,0.8829787234042553
A2,A,40,3.3,3,0.6447973327743984,0.8564898308979116,30000000,7499279,0.2499759666666666,0.4999284597892677,148,188,0.7872340425531915
A2,A,40,5.0,3,0.9148319868334848,0.9005515592321345,30000000,7502472,0.2500824,0.500010929730894,172,188,0.9148936170212766
A3,A,0,3.3,3,0.8980200630888926,0.8885704792727649,30000000,7542910,0.2514303333333333,0.5002510967252691,171,188,0.9095744680851064
A3,A,0,5.0,3,0.9012666165569688,0.8768135160543586,30000000,7487355,0.2495785,0.4997067722847387,160,188,0.851063829787234
A3,A,24,3.3,3,0.8870749958341085,0.8956326741177318,30000000,7492814,0.2497604666666666,0.4999506193534231,167,188,0.8882978723404256
A3,A,24,5.0,3,0.9149927544760076,0.8921854439493786,30000000,7493970,0.249799,0.5000362958485289,170,188,0.9042553191489362
A3,A,40,5.0,3,0.9129604102774275,0.9093895690994608,30000000,7480180,0.24933933333333333,0.5002725870233069,172,188,0.9148936170212766
A4,A,0,3.3,3,0.9206515912820946,0.9035015331177344,30000000,7499313,0.2499771,0.4999496620557109,176,188,0.9361702127659576
A4,A,0,5.0,3,0.909018828594088,0.8836459453450289,30000000,7492156,0.2497385333333333,0.4998311567458018,177,188,0.9414893617021276
A4,A,24,3.3,3,0.9177168550186248,0.8902514581118665,30000000,7491456,0.2497152,0.5005243306508107,169,188,0.898936170212766
A4,A,24,5.0,3,0.9081601867462048,0.9083339021506452,30000000,7502935,0.2500978333333333,0.4999983339853004,171,188,0.9095744680851064
A4,A,40,5.0,3,0.9030722448010687,0.9159438382075948,30000000,7492448,0.24974826666666666,0.5001991338478425,180,188,0.9574468085106383
A5,A,0,3.3,3,0.8460000830214714,0.8724353342049446,30000000,7494195,0.2498065,0.5000162125485126,173,188,0.9202127659574468
A5,A,0,5.0,3,0.904300761506998,0.8931896131343589,30000000,7491832,0.2497277333333333,0.4998443638351741,173,188,0.9202127659574468
A5,A,24,3.3,3,0.7267399084385318,0.930596772971172,30000000,7499217,0.2499739,0.5003046318035603,179,188,0.952127659574468
A5,A,24,5.0,3,0.9163191537041848,0.8896772905249953,30000000,7516119,0.2505373,0.4996763622289641,175,188,0.9308510638297872
A5,A,40,5.0,3,0.8951860791928502,0.9108209021897036,30000000,7479810,0.249327,0.5000719269607116,169,188,0.898936170212766
A6,A,0,3.3,3,0.912268294916879,0.9094648277111768,30000000,7501084,0.2500361333333333,0.4999520069365974,169,188,0.898936170212766
A6,A,0,5.0,3,0.91298490314942,0.9059689631480587,30000000,7478460,0.249282,0.5000905266592319,172,188,0.9148936170212766
A6,A,24,3.3,3,0.7988189225609578,0.916932045724136,30000000,7495453,0.2498484333333333,0.5000603699336118,176,188,0.9361702127659576
A6,A,24,5.0,3,0.8222845816656802,0.8815222808836484,30000000,7495526,0.2498508666666666,0.4999957307866052,173,188,0.9202127659574468
A6,A,40,5.0,3,0.9125194874886406,0.8782719113499283,30000000,7523969,0.2507989666666667,0.5001643414532941,169,188,0.898936170212766
A7,A,0,3.3,3,0.9039296056043448,0.9066751582306884,30000000,7496620,0.2498873333333333,0.5003228121473411,170,188,0.9042553191489362
A7,A,0,5.0,3,0.9014352207528536,0.9010231259131034,30000000,7512804,0.2504268,0.4998089927542366,171,188,0.9095744680851064
A7,A,24,3.3,3,0.898429114674494,0.8751287939867143,30000000,7520625,0.2506875,0.4999204188481675,167,188,0.8882978723404256
A7,A,24,5.0,3,0.9016625466814864,0.8894700509318594,30000000,7513971,0.2504657,0.5000934925088212,175,188,0.9308510638297872
A7,A,40,5.0,3,0.9211626334932962,0.9263341844661735,30000000,7478505,0.2492835,0.4999830848545264,1,188,0.005319148936170213
B1,B,0,3.3,3,0.8798642445835198,0.9191998764734473,30000000,7487087,0.2495695666666666,0.5002699981982311,176,188,0.9361702127659576
B1,B,0,5.0,3,0.917129787743818,0.8892623953536858,30000000,7484044,0.2494681333333333,0.5001642160307983,167,188,0.8882978723404256
B1,B,24,3.3,3,0.688399312136739,0.8882542698285736,30000000,7499205,0.2499735,0.4999313927276291,171,188,0.9095744680851064
B1,B,24,5.0,3,0.8001741942930792,0.9306403274704402,30000000,7487369,0.2495789666666666,0.5001619393941984,175,188,0.9308510638297872
B1,B,40,3.3,3,0.6975884731939729,0.8795783606528035,30000000,7480725,0.2493575,0.4999695885091351,168,188,0.8936170212765957
B1,B,40,5.0,3,0.8126013703893494,0.8910960475590834,30000000,7490903,0.2496967666666666,0.4998617656642997,166,188,0.8829787234042553
B2,B,0,3.3,3,0.8169397608309538,0.8985103211927131,30000000,7504616,0.2501538666666666,0.499728567057928,177,188,0.9414893617021276
B2,B,0,5.0,3,0.9167357878851248,0.8824339566651719,30000000,7502697,0.2500899,0.4998466551428106,172,188,0.9148936170212766
B2,B,24,3.3,3,0.8876837163020889,0.90156706383496,30000000,7501624,0.2500541333333333,0.5001265059405803,170,188,0.9042553191489362
B2,B,24,5.0,3,0.8940025837147982,0.9119896126464438,30000000,7504168,0.2501389333333333,0.5001136701630348,174,188,0.925531914893617
