Sensor,Variant,Temp (C),Voltage (V),Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate,VN Min-Entropy (bits/bit)
A1,A,0,3.3,0.9075140236114665,10000000,2500557,0.2500557,0.499873428200197,187,188,0.9946808510638298,0.9030319696690663
A1,A,0,5.0,0.8995766145925014,10000000,2499183,0.2499183,0.5001410460938635,185,188,0.9840425531914894,0.8413636425011698
A1,A,24,3.3,0.9246874370277568,10000000,2499175,0.2499175,0.5001746576370202,187,188,0.9946808510638298,0.9177935090921404
A1,A,24,5.0,0.8931429894664927,10000000,2501010,0.250101,0.5005681704591345,185,188,0.9840425531914894,0.8520670925747984
A1,A,40,3.3,0.9303827017429849,10000000,2497790,0.249779,0.5003931475424275,187,188,0.9946808510638298,0.8699533602476639
A1,A,40,5.0,0.9034114451671332,10000000,2500609,0.2500609,0.4994547328270833,186,188,0.9893617021276596,0.9202561095829296
A2,A,0,3.3,0.889054422168571,10000000,2499961,0.2499961,0.5001702026551614,186,188,0.9893617021276596,0.8564396786469896
A2,A,0,5.0,0.907770534223881,10000000,2498990,0.249899,0.49997078819843216,185,188,0.9840425531914894,0.8814996904239348
A2,A,24,3.3,0.8848152163193679,10000000,2499364,0.2499364,0.5000296075321562,187,188,0.9946808510638298,0.887439699014024
A2,A,24,5.0,0.9354066112394646,10000000,2500924,0.2500924,0.5000755720685635,186,188,0.9893617021276596,0.8962583447335474
A2,A,40,3.3,0.8981924073670946,10000000,2500434,0.2500434,0.49979843499168547,187,188,0.9946808510638298,0.864712338306739
A2,A,40,5.0,0.9407643278630556,10000000,2502158,0.2502158,0.4997777918101095,187,188,0.9946808510638298,0.8560284495885705
A3,A,0,3.3,0.8895299821172079,10000000,2499363,0.2499363,0.5001718437857966,187,188,0.9946808510638298,0.8823448553152633
A4,A,0,3.3,0.9000003495777259,10000000,2498951,0.2498951,0.49970967818096473,186,188,0.9893617021276596,0.8732126081322839
A5,A,0,3.3,0.9094556969514622,10000000,2502063,0.2502063,0.5002144230580925,187,188,0.9946808510638298,0.8841021218010474
A6,A,0,3.3,0.9126923865158812,10000000,2499799,0.2499799,0.4997769820693584,187,188,0.9946808510638298,0.8905298127929887
A7,A,0,3.3,0.898033438648016,10000000,2500835,0.2500835,0.5001333554592766,187,188,0.9946808510638298,0.8808722520885256
B1,B,0,3.3,0.899448084385447,10000000,2499466,0.2499466,0.5001620346105928,187,188,0.9946808510638298,0.9226136279424068
B1,B,0,5.0,0.9228663557698501,10000000,2498484,0.2498484,0.5002537538763506,186,188,0.9893617021276596,0.8913010076392208
B1,B,24,3.3,0.9137802082994223,10000000,2498759,0.2498759,0.49980810474319454,187,188,0.9946808510638298,0.8878570191283791
B1,B,24,5.0,0.8970662356918462,10000000,2499951,0.2499951,0.5000490009604188,161,162,0.9938271604938271,0.8570466504788458
B1,B,40,3.3,0.9159565343817989,10000000,2498524,0.2498524,0.5002413424886053,187,188,0.9946808510638298,0.8343307989585448
B1,B,40,5.0,0.9020504204203043,10000000,2501553,0.2501553,0.49994223588306946,186,188,0.9893617021276596,0.9001108601966771
B2,B,0,3.3,0.8957211411118005,10000000,2500651,0.2500651,0.49963669460472493,186,188,0.9893617021276596,0.8864836654110043
B2,B,0,5.0,0.9143421525061425,10000000,2501492,0.2501492,0.499791324537516,187,188,0.9946808510638298,0.8874492585361362
B2,B,24,3.3,0.8925268236378315,10000000,2500447,0.2500447,0.5001913657837979,186,188,0.9893617021276596,0.8697499978742339
B2,B,24,5.0,0.9043127467930588,10000000,2501548,0.2501548,0.4995350878735887,186,188,0.9893617021276596,0.9201281214418043
B2,B,40,3.3,0.9106118770562236,10000000,2501421,0.2501421,0.500251656958185,186,188,0.9893617021276596,0.8697936886238589
B2,B,40,5.0,0.8993036642614629,10000000,2500330,0.250033,0.4995196634044306,186,188,0.9893617021276596,0.8850710328272835
B3,B,0,3.3,0.8875641742205179,10000000,2501805,0.2501805,0.5004838506598236,187,188,0.9946808510638298,0.9224915164968971
B3,B,0,5.0,0.9125115894181498,10000000,2499316,0.2499316,0.5001576431311607,186,188,0.9893617021276596,0.8749025144910393
B3,B,24,3.3,0.9253198601543589,10000000,2498139,0.2498139,0.4996099096167187,187,188,0.9946808510638298,0.8940224162133666
B3,B,24,5.0,0.9018989931189895,10000000,2498572,0.2498572,0.4999687821683746,185,188,0.9840425531914894,0.8723464592321156
B3,B,40,3.3,0.8904271091020434,10000000,2501238,0.2501238,0.49996241861030416,187,188,0.9946808510638298,0.8769944169932687
B3,B,40,5.0,0.9130110140426799,10000000,2499591,0.2499591,0.5001586259512056,186,188,0.9893617021276596,0.8737433713555512
B4,B,0,3.3,0.8983257883130719,10000000,2498586,0.2498586,0.5001300735696109,186,188,0.9893617021276596,0.8598962678265291
B4,B,0,5.0,0.8956023965905674,10000000,2501005,0.2501005,0.49986265521260453,186,188,0.9893617021276596,0.8849273904008564
B4,B,24,3.3,0.8962522736356293,10000000,2499858,0.2499858,0.4994775703259945,187,188,0.9946808510638298,0.8712525994906825
B4,B,24,5.0,0.8961247402303423,10000000,2500494,0.2500494,0.4995164955404812,186,188,0.9893617021276596,0.8969944903622181
