Sensor,Variant,Voltage_V,MinEntropy_RAW_bits_per_bit,MinEntropy_VN_bits_per_bit,SP80022_RAW_Passed,SP80022_RAW_Total,SP80022_RAW_PassRate,SP80022_VN_Passed,SP80022_VN_Total,SP80022_VN_PassRate
A1,A,3.3,0.4,0.845,2,188,0.0106,159,188,0.8457
A1,A,5,0.114,0.882,1,188,0.0053,187,188,0.9947
A2,A,3.3,0.283,0.826,3,188,0.016,186,188,0.9894
A2,A,5,0.003,0.896,0,188,0.0,181,188,0.9628
A3,A,3.3,0.31,0.841,2,188,0.0106,161,188,0.8564
A3,A,5,0.144,0.873,1,188,0.0053,184,188,0.9787
B1,B,3.3,0.561,0.876,17,188,0.0904,162,188,0.8617
B1,B,5,0.0,0.886,0,188,0.0,188,188,1.0
B2,B,3.3,0.615,0.881,29,188,0.1543,186,188,0.9894
B2,B,5,0.004,0.855,0,188,0.0,181,188,0.9628
B3,B,3.3,0.427,0.877,9,188,0.0479,188,188,1.0
B3,B,5,0.001,0.888,0,188,0.0,188,188,1.0
C1,C,3.3,0.539,0.85,13,188,0.0691,188,188,1.0
C1,C,5,0.134,0.839,1,188,0.0053,162,188,0.8617
C2,C,3.3,0.546,0.894,39,188,0.2074,185,188,0.984
C2,C,5,0.227,0.834,2,188,0.0106,159,188,0.8457
C3,C,3.3,0.692,0.909,37,188,0.1968,187,188,0.9947
C3,C,5,0.585,0.873,31,188,0.1649,186,188,0.9894
