Sensor,Variant,Temp (C),Voltage (V),Min-Entropy (bits/bit),VN Input Bits,VN Output Bits,VN Retention Rate,Post-VN One Fraction,SP 800-22 Sub-tests Passed,SP 800-22 Sub-tests Total,SP 800-22 Pass Rate
A1,A,0,3.3,0.9075140236114665,10000000,2500557,0.2500557,0.499873428200197,187,188,0.9946808510638298
A1,A,0,5.0,0.8995766145925014,10000000,2499183,0.2499183,0.5001410460938635,185,188,0.9840425531914894
A1,A,24,3.3,0.9246874370277568,10000000,2499175,0.2499175,0.5001746576370202,187,188,0.9946808510638298
A1,A,24,5.0,0.8931429894664927,10000000,2501010,0.250101,0.5005681704591345,185,188,0.9840425531914894
A1,A,40,3.3,0.9303827017429849,10000000,2497790,0.249779,0.5003931475424275,187,188,0.9946808510638298
A1,A,40,5.0,0.9034114451671332,10000000,2500609,0.2500609,0.4994547328270833,186,188,0.9893617021276596
A2,A,0,3.3,0.889054422168571,10000000,2499961,0.2499961,0.5001702026551614,186,188,0.9893617021276596
A2,A,0,5.0,0.907770534223881,10000000,2498990,0.249899,0.49997078819843216,185,188,0.9840425531914894
A2,A,24,3.3,0.8848152163193679,10000000,2499364,0.2499364,0.5000296075321562,187,188,0.9946808510638298
A2,A,24,5.0,0.9354066112394646,10000000,2500924,0.2500924,0.5000755720685635,186,188,0.9893617021276596
A2,A,40,3.3,0.8981924073670946,10000000,2500434,0.2500434,0.49979843499168547,187,188,0.9946808510638298
A2,A,40,5.0,0.9407643278630556,10000000,2502158,0.2502158,0.4997777918101095,187,188,0.9946808510638298
B1,B,0,3.3,0.899448084385447,10000000,2499466,0.2499466,0.5001620346105928,187,188,0.9946808510638298
B1,B,0,5.0,0.9228663557698501,10000000,2498484,0.2498484,0.5002537538763506,186,188,0.9893617021276596
B1,B,24,3.3,0.9137802082994223,10000000,2498759,0.2498759,0.49980810474319454,187,188,0.9946808510638298
B1,B,24,5.0,0.8970662356918462,10000000,2499951,0.2499951,0.5000490009604188,161,162,0.9938271604938271
B1,B,40,3.3,0.9159565343817989,10000000,2498524,0.2498524,0.5002413424886053,187,188,0.9946808510638298
B1,B,40,5.0,0.9020504204203043,10000000,2501553,0.2501553,0.49994223588306946,186,188,0.9893617021276596
B2,B,0,3.3,0.8957211411118005,10000000,2500651,0.2500651,0.49963669460472493,186,188,0.9893617021276596
B2,B,0,5.0,0.9143421525061425,10000000,2501492,0.2501492,0.499791324537516,187,188,0.9946808510638298
B2,B,24,3.3,0.8925268236378315,10000000,2500447,0.2500447,0.5001913657837979,186,188,0.9893617021276596
B2,B,24,5.0,0.9043127467930588,10000000,2501548,0.2501548,0.4995350878735887,186,188,0.9893617021276596
B2,B,40,3.3,0.9106118770562236,10000000,2501421,0.2501421,0.500251656958185,186,188,0.9893617021276596
B2,B,40,5.0,0.8993036642614629,10000000,2500330,0.250033,0.4995196634044306,186,188,0.9893617021276596
B3,B,0,3.3,0.8875641742205179,10000000,2501805,0.2501805,0.5004838506598236,187,188,0.9946808510638298
B3,B,0,5.0,0.9125115894181498,10000000,2499316,0.2499316,0.5001576431311607,186,188,0.9893617021276596
B3,B,24,3.3,0.9253198601543589,10000000,2498139,0.2498139,0.4996099096167187,187,188,0.9946808510638298
B3,B,24,5.0,0.9018989931189895,10000000,2498572,0.2498572,0.4999687821683746,185,188,0.9840425531914894
B3,B,40,3.3,0.8904271091020434,10000000,2501238,0.2501238,0.49996241861030416,187,188,0.9946808510638298
B3,B,40,5.0,0.9130110140426799,10000000,2499591,0.2499591,0.5001586259512056,186,188,0.9893617021276596
B4,B,0,3.3,0.8983257883130719,10000000,2498586,0.2498586,0.5001300735696109,186,188,0.9893617021276596
B4,B,0,5.0,0.8956023965905674,10000000,2501005,0.2501005,0.49986265521260453,186,188,0.9893617021276596
B4,B,24,3.3,0.8962522736356293,10000000,2499858,0.2499858,0.4994775703259945,187,188,0.9946808510638298
B4,B,24,5.0,0.8961247402303423,10000000,2500494,0.2500494,0.4995164955404812,186,188,0.9893617021276596
B4,B,40,3.3,0.907101641303215,10000000,2498222,0.2498222,0.5000924657616497,187,188,0.9946808510638298
B4,B,40,5.0,0.889024553197279,10000000,2500222,0.2500222,0.4998120166929177,186,188,0.9893617021276596
C2,C,0,3.3,0.8763926306705535,10000000,2502373,0.2502373,0.5001324742554367,187,188,0.9946808510638298
C2,C,0,5.0,0.8992766353437976,10000000,2499527,0.2499527,0.4996229286581021,186,188,0.9893617021276596
C2,C,24,3.3,0.9028657075124792,10000000,2499241,0.2499241,0.500081824842022,186,188,0.9893617021276596
C2,C,24,5.0,0.9240617536904766,10000000,2497573,0.2497573,0.4994216385266817,160,162,0.9876543209876543
C2,C,40,3.3,0.8999418242741933,10000000,2500945,0.2500945,0.5004472309467022,183,188,0.973404255319149
C2,C,40,5.0,0.8997325975541156,10000000,2500171,0.2500171,0.5003041791941432,187,188,0.9946808510638298
